keyword,keywordType,volumeUK,kd,cpc,intentSemrush,serpFeatures,intentPlanned,cluster,proposedUrl,article,commercialPotential,tier,competitorRanking,status,lastResearched
waking up hot at night,primary,,,,,,informational,waking-at-night,/waking-at-night/waking-up-hot-at-night/,Waking Up Hot at Night: Common Causes and How to Stay Cooler,yes: cooling-pillow; bedding,3,,draft-pending-validation,
waking up sweating at night,secondary,,,,,,informational,waking-at-night,/waking-at-night/waking-up-hot-at-night/,Waking Up Hot at Night: Common Causes and How to Stay Cooler,yes: cooling-pillow; bedding,3,,draft-pending-validation,
too hot to sleep waking up,secondary,,,,,,informational,waking-at-night,/waking-at-night/waking-up-hot-at-night/,Waking Up Hot at Night: Common Causes and How to Stay Cooler,yes: cooling-pillow; bedding,3,,draft-pending-validation,
overheating at night,secondary,,,,,,informational,waking-at-night,/waking-at-night/waking-up-hot-at-night/,Waking Up Hot at Night: Common Causes and How to Stay Cooler,yes: cooling-pillow; bedding,3,,draft-pending-validation,
light sleeper,primary,,,,,,informational,waking-at-night,/waking-at-night/light-sleeper/,Are You a Light Sleeper? How to Stop Waking at Every Noise,yes: earplugs; white-noise; sleep-mask,2,,draft-pending-validation,
how to stop being a light sleeper,secondary,,,,,,informational,waking-at-night,/waking-at-night/light-sleeper/,Are You a Light Sleeper? How to Stop Waking at Every Noise,yes: earplugs; white-noise; sleep-mask,2,,draft-pending-validation,
light sleeper tips,secondary,,,,,,informational,waking-at-night,/waking-at-night/light-sleeper/,Are You a Light Sleeper? How to Stop Waking at Every Noise,yes: earplugs; white-noise; sleep-mask,2,,draft-pending-validation,
wake up at every noise,secondary,,,,,,informational,waking-at-night,/waking-at-night/light-sleeper/,Are You a Light Sleeper? How to Stop Waking at Every Noise,yes: earplugs; white-noise; sleep-mask,2,,draft-pending-validation,
how to sleep more deeply,secondary,,,,,,informational,waking-at-night,/waking-at-night/light-sleeper/,Are You a Light Sleeper? How to Stop Waking at Every Noise,yes: earplugs; white-noise; sleep-mask,2,,draft-pending-validation,
brown noise for sleep,primary,,,,,,informational,sleep-sounds,/sleep-sounds/brown-noise-for-sleep/,Brown Noise for Sleep: What It Is and Why People Find It Calming,yes: white-noise; sleep-headphones,1,,draft-pending-validation,
brown noise,secondary,,,,,,informational,sleep-sounds,/sleep-sounds/brown-noise-for-sleep/,Brown Noise for Sleep: What It Is and Why People Find It Calming,yes: white-noise; sleep-headphones,1,,draft-pending-validation,
is brown noise good for sleep,secondary,,,,,,informational,sleep-sounds,/sleep-sounds/brown-noise-for-sleep/,Brown Noise for Sleep: What It Is and Why People Find It Calming,yes: white-noise; sleep-headphones,1,,draft-pending-validation,
brown noise sleep,secondary,,,,,,informational,sleep-sounds,/sleep-sounds/brown-noise-for-sleep/,Brown Noise for Sleep: What It Is and Why People Find It Calming,yes: white-noise; sleep-headphones,1,,draft-pending-validation,
what is brown noise,secondary,,,,,,informational,sleep-sounds,/sleep-sounds/brown-noise-for-sleep/,Brown Noise for Sleep: What It Is and Why People Find It Calming,yes: white-noise; sleep-headphones,1,,draft-pending-validation,
white noise for sleep,primary,,,,,,informational,sleep-sounds,/sleep-sounds/white-noise-for-sleep/,"White Noise for Sleep: Does It Help, and How to Use It Well",yes: white-noise,1,,draft-pending-validation,
white noise,secondary,,,,,,informational,sleep-sounds,/sleep-sounds/white-noise-for-sleep/,"White Noise for Sleep: Does It Help, and How to Use It Well",yes: white-noise,1,,draft-pending-validation,
does white noise help you sleep,secondary,,,,,,informational,sleep-sounds,/sleep-sounds/white-noise-for-sleep/,"White Noise for Sleep: Does It Help, and How to Use It Well",yes: white-noise,1,,draft-pending-validation,
white noise sleep,secondary,,,,,,informational,sleep-sounds,/sleep-sounds/white-noise-for-sleep/,"White Noise for Sleep: Does It Help, and How to Use It Well",yes: white-noise,1,,draft-pending-validation,
white noise benefits,secondary,,,,,,informational,sleep-sounds,/sleep-sounds/white-noise-for-sleep/,"White Noise for Sleep: Does It Help, and How to Use It Well",yes: white-noise,1,,draft-pending-validation,
pink noise for sleep,primary,,,,,,informational,sleep-sounds,/sleep-sounds/pink-noise-for-sleep/,Pink Noise for Sleep: The Gentler Alternative to White Noise,yes: white-noise,2,,draft-pending-validation,
pink noise,secondary,,,,,,informational,sleep-sounds,/sleep-sounds/pink-noise-for-sleep/,Pink Noise for Sleep: The Gentler Alternative to White Noise,yes: white-noise,2,,draft-pending-validation,
what is pink noise,secondary,,,,,,informational,sleep-sounds,/sleep-sounds/pink-noise-for-sleep/,Pink Noise for Sleep: The Gentler Alternative to White Noise,yes: white-noise,2,,draft-pending-validation,
pink noise sleep,secondary,,,,,,informational,sleep-sounds,/sleep-sounds/pink-noise-for-sleep/,Pink Noise for Sleep: The Gentler Alternative to White Noise,yes: white-noise,2,,draft-pending-validation,
pink noise vs white noise,secondary,,,,,,informational,sleep-sounds,/sleep-sounds/pink-noise-for-sleep/,Pink Noise for Sleep: The Gentler Alternative to White Noise,yes: white-noise,2,,draft-pending-validation,
rain sounds for sleep,primary,,,,,,informational,sleep-sounds,/sleep-sounds/rain-sounds-for-sleep/,Rain Sounds for Sleep: Why They Work and How to Use Them,yes: white-noise; sleep-headphones,2,,draft-pending-validation,
rain sounds,secondary,,,,,,informational,sleep-sounds,/sleep-sounds/rain-sounds-for-sleep/,Rain Sounds for Sleep: Why They Work and How to Use Them,yes: white-noise; sleep-headphones,2,,draft-pending-validation,
rain sounds sleeping,secondary,,,,,,informational,sleep-sounds,/sleep-sounds/rain-sounds-for-sleep/,Rain Sounds for Sleep: Why They Work and How to Use Them,yes: white-noise; sleep-headphones,2,,draft-pending-validation,
sleep to rain sounds,secondary,,,,,,informational,sleep-sounds,/sleep-sounds/rain-sounds-for-sleep/,Rain Sounds for Sleep: Why They Work and How to Use Them,yes: white-noise; sleep-headphones,2,,draft-pending-validation,
